"Title        "	"Input A"	 		"Title        "	"Input B"	 
"ID           "	1	 		"ID           "	1	 
"Type         "	"Envelope"	 		"Type         "	"Envelope"	 
"Date         "	01/01/95	 		"Date         "	01/01/95	 
"Time         "	23:46:12	 		"Time         "	23:46:12	 
"X Scale      "	1.00E-04	 		"X Scale      "	1.00E-04	 
"X At 0%      "	-6.08E-04	 		"X At 0%      "	-6.08E-04	 
"X Resolution "	2.500000E+01	 		"X Resolution "	2.500000E+01	 
"X Size       "	300	 		"X Size       "	300	 
"X Unit       "	"s"	 		"X Unit       "	"s"	 
"X Label      "	"100 us/Div"	 		"X Label      "	"100 us/Div"	 
"Y Scale      "	1.00E-01	 		"Y Scale      "	1.00E+00	 
"Y At 50%     "	-4.00E-01	 		"Y At 50%     "	1.68E+00	 
"Y Resolution "	2.500000E+01	 		"Y Resolution "	2.500000E+01	 
"Y Size       "	256	 		"Y Size       "	256	 
"Y Unit       "	"V"	 		"Y Unit       "	"V"	 
"Y Label      "	"mV"	 		"Y Label      "	"V"	 

-6.08E-04	-2.8E-02	-2.8E-02		-6.08E-04	6.0E-01	6.8E-01
-6.04E-04	-3.6E-02	-2.4E-02		-6.04E-04	5.6E-01	7.2E-01
-6.00E-04	-2.8E-02	-2.0E-02		-6.00E-04	5.6E-01	6.4E-01
-5.96E-04	-3.2E-02	-2.4E-02		-5.96E-04	6.4E-01	6.8E-01
-5.92E-04	-3.2E-02	-2.0E-02		-5.92E-04	6.0E-01	6.8E-01
-5.88E-04	-2.8E-02	-2.8E-02		-5.88E-04	5.6E-01	6.4E-01
-5.84E-04	-3.6E-02	-2.8E-02		-5.84E-04	6.0E-01	6.4E-01
-5.80E-04	-3.6E-02	-2.8E-02		-5.80E-04	6.0E-01	6.4E-01
-5.76E-04	-4.0E-02	-3.2E-02		-5.76E-04	5.6E-01	6.4E-01
-5.72E-04	-3.2E-02	-2.8E-02		-5.72E-04	6.0E-01	6.4E-01
-5.68E-04	-3.2E-02	-2.4E-02		-5.68E-04	6.4E-01	6.8E-01
-5.64E-04	-3.2E-02	-2.4E-02		-5.64E-04	6.0E-01	6.8E-01
-5.60E-04	-3.6E-02	-2.8E-02		-5.60E-04	5.6E-01	6.4E-01
-5.56E-04	-3.2E-02	-2.4E-02		-5.56E-04	5.6E-01	6.8E-01
-5.52E-04	-3.2E-02	-2.8E-02		-5.52E-04	6.4E-01	6.8E-01
-5.48E-04	-3.6E-02	-2.8E-02		-5.48E-04	5.6E-01	6.0E-01
-5.44E-04	-3.6E-02	-2.8E-02		-5.44E-04	5.6E-01	6.4E-01
-5.40E-04	-3.6E-02	-2.4E-02		-5.40E-04	5.6E-01	6.0E-01
-5.36E-04	-3.2E-02	-2.8E-02		-5.36E-04	5.6E-01	6.8E-01
-5.32E-04	-3.6E-02	-2.4E-02		-5.32E-04	6.0E-01	6.8E-01
-5.28E-04	-3.6E-02	-2.8E-02		-5.28E-04	5.6E-01	6.4E-01
-5.24E-04	-3.2E-02	-2.4E-02		-5.24E-04	6.0E-01	6.4E-01
-5.20E-04	-3.6E-02	-2.4E-02		-5.20E-04	5.6E-01	6.4E-01
-5.16E-04	-3.6E-02	-2.8E-02		-5.16E-04	5.6E-01	6.4E-01
-5.12E-04	-3.6E-02	-2.8E-02		-5.12E-04	5.6E-01	6.4E-01
-5.08E-04	-3.2E-02	-2.8E-02		-5.08E-04	6.0E-01	6.8E-01
-5.04E-04	-3.6E-02	-2.4E-02		-5.04E-04	5.6E-01	6.4E-01
-5.00E-04	-2.8E-02	-2.8E-02		-5.00E-04	6.0E-01	6.8E-01
-4.96E-04	-3.6E-02	-3.2E-02		-4.96E-04	5.6E-01	6.8E-01
-4.92E-04	-3.6E-02	-2.8E-02		-4.92E-04	6.0E-01	6.4E-01
-4.88E-04	-3.2E-02	-3.2E-02		-4.88E-04	6.0E-01	6.8E-01
-4.84E-04	-3.6E-02	-2.4E-02		-4.84E-04	6.0E-01	6.4E-01
-4.80E-04	-3.2E-02	-2.4E-02		-4.80E-04	5.6E-01	6.8E-01
-4.76E-04	-3.6E-02	-2.4E-02		-4.76E-04	6.0E-01	6.4E-01
-4.72E-04	-4.0E-02	-3.2E-02		-4.72E-04	6.0E-01	6.8E-01
-4.68E-04	-3.6E-02	-2.4E-02		-4.68E-04	5.2E-01	6.0E-01
-4.64E-04	-3.6E-02	-3.2E-02		-4.64E-04	5.6E-01	6.8E-01
-4.60E-04	-3.2E-02	-2.8E-02		-4.60E-04	5.2E-01	6.4E-01
