"Title        "	"Input A"	 		"Title        "	"Input B"	 
"ID           "	1	 		"ID           "	1	 
"Type         "	"Envelope"	 		"Type         "	"Envelope"	 
"Date         "	01/01/95	 		"Date         "	01/01/95	 
"Time         "	19:01:55	 		"Time         "	19:01:55	 
"X Scale      "	5.0E-04	 		"X Scale      "	5.0E-04	 
"X At 0%      "	-2.98E-03	 		"X At 0%      "	-2.98E-03	 
"X Resolution "	2.500000E+01	 		"X Resolution "	2.500000E+01	 
"X Size       "	300	 		"X Size       "	300	 
"X Unit       "	"s"	 		"X Unit       "	"s"	 
"X Label      "	"500 us/Div"	 		"X Label      "	"500 us/Div"	 
"Y Scale      "	1.00E-01	 		"Y Scale      "	1.00E+00	 
"Y At 50%     "	-4.00E-01	 		"Y At 50%     "	1.68E+00	 
"Y Resolution "	2.500000E+01	 		"Y Resolution "	2.500000E+01	 
"Y Size       "	256	 		"Y Size       "	256	 
"Y Unit       "	"V"	 		"Y Unit       "	"V"	 
"Y Label      "	"mV"	 		"Y Label      "	"V"	 

-1.82E-03	-3.2E-02	-2.4E-02		-1.82E-03	4.4E-01	5.6E-01
-1.80E-03	-2.8E-02	-2.0E-02		-1.80E-03	5.6E-01	6.0E-01
-1.78E-03	-2.4E-02	-1.6E-02		-1.78E-03	5.6E-01	6.0E-01
-1.76E-03	-2.8E-02	-2.0E-02		-1.76E-03	5.2E-01	6.4E-01
-1.74E-03	-2.4E-02	-2.0E-02		-1.74E-03	4.8E-01	6.0E-01
-1.72E-03	-2.4E-02	-1.6E-02		-1.72E-03	5.6E-01	6.0E-01
-1.70E-03	-2.4E-02	-2.0E-02		-1.70E-03	5.6E-01	6.4E-01
-1.68E-03	-2.4E-02	-1.6E-02		-1.68E-03	5.2E-01	6.0E-01
-1.66E-03	-2.4E-02	-1.6E-02		-1.66E-03	4.4E-01	6.0E-01
-1.64E-03	-2.4E-02	-2.0E-02		-1.64E-03	5.6E-01	6.4E-01
-1.62E-03	-2.8E-02	-1.6E-02		-1.62E-03	5.6E-01	6.0E-01
-1.60E-03	-3.2E-02	-2.0E-02		-1.60E-03	5.2E-01	6.4E-01
-1.58E-03	-2.4E-02	-2.0E-02		-1.58E-03	5.2E-01	6.0E-01
-1.56E-03	-2.8E-02	-2.0E-02		-1.56E-03	5.2E-01	6.0E-01
-1.54E-03	-2.8E-02	-1.6E-02		-1.54E-03	5.2E-01	6.0E-01
-1.52E-03	-2.8E-02	-1.6E-02		-1.52E-03	5.6E-01	6.4E-01
-1.50E-03	-2.4E-02	-2.0E-02		-1.50E-03	5.6E-01	6.0E-01
-1.48E-03	-2.4E-02	-2.0E-02		-1.48E-03	5.6E-01	6.4E-01
-1.46E-03	-2.4E-02	-1.6E-02		-1.46E-03	5.6E-01	6.4E-01
-1.44E-03	-2.8E-02	-2.0E-02		-1.44E-03	5.6E-01	6.8E-01
-1.42E-03	-2.8E-02	-1.6E-02		-1.42E-03	5.6E-01	6.4E-01
-1.40E-03	-2.4E-02	-2.0E-02		-1.40E-03	5.2E-01	6.4E-01
-1.38E-03	-2.4E-02	-2.0E-02		-1.38E-03	5.6E-01	6.4E-01
-1.36E-03	-2.8E-02	-2.0E-02		-1.36E-03	5.2E-01	6.4E-01
-1.34E-03	-2.4E-02	-1.6E-02		-1.34E-03	5.2E-01	6.4E-01
-1.32E-03	-2.4E-02	-2.0E-02		-1.32E-03	5.6E-01	6.4E-01
-1.30E-03	-2.8E-02	-2.4E-02		-1.30E-03	5.6E-01	6.0E-01
-1.28E-03	-2.8E-02	-2.0E-02		-1.28E-03	5.2E-01	6.4E-01
-1.26E-03	-3.2E-02	-2.4E-02		-1.26E-03	5.2E-01	6.4E-01
-1.24E-03	-2.4E-02	-2.0E-02		-1.24E-03	5.6E-01	6.4E-01
-1.22E-03	-2.8E-02	-2.0E-02		-1.22E-03	5.6E-01	6.8E-01
-1.20E-03	-2.8E-02	-2.4E-02		-1.20E-03	5.2E-01	6.4E-01
-1.18E-03	-2.8E-02	-2.0E-02		-1.18E-03	5.2E-01	5.6E-01
-1.16E-03	-2.0E-02	-1.6E-02		-1.16E-03	5.6E-01	6.4E-01
-1.14E-03	-2.4E-02	-2.0E-02		-1.14E-03	5.2E-01	6.4E-01
-1.12E-03	-2.4E-02	-1.6E-02		-1.12E-03	5.6E-01	6.4E-01
-1.10E-03	-2.8E-02	-2.0E-02		-1.10E-03	5.2E-01	6.4E-01
-1.08E-03	-3.2E-02	-2.4E-02		-1.08E-03	5.6E-01	6.4E-01
-1.06E-03	-2.8E-02	-2.0E-02		-1.06E-03	4.4E-01	6.4E-01
-1.04E-03	-3.2E-02	-2.4E-02		-1.04E-03	5.2E-01	6.0E-01
-1.02E-03	-2.8E-02	-2.4E-02		-1.02E-03	6.0E-01	6.4E-01
-1.00E-03	-3.2E-02	-2.0E-02		-1.00E-03	5.2E-01	6.4E-01
-9.8E-04	-2.8E-02	-1.6E-02		-9.8E-04	5.6E-01	6.4E-01
-9.6E-04	-2.4E-02	-2.0E-02		-9.6E-04	6.0E-01	6.4E-01
-9.4E-04	-2.4E-02	-2.0E-02		-9.4E-04	5.6E-01	6.0E-01
-9.2E-04	-3.2E-02	-2.4E-02		-9.2E-04	5.6E-01	6.8E-01
-9.0E-04	-3.6E-02	-2.8E-02		-9.0E-04	6.0E-01	6.4E-01
-8.8E-04	-3.6E-02	-3.2E-02		-8.8E-04	5.6E-01	6.4E-01
-8.6E-04	-2.8E-02	-2.4E-02		-8.6E-04	5.6E-01	6.4E-01
-8.4E-04	-4.0E-02	-3.2E-02		-8.4E-04	6.0E-01	6.4E-01
-8.2E-04	-5.2E-02	-4.0E-02		-8.2E-04	6.0E-01	6.4E-01
-8.0E-04	-5.6E-02	-4.4E-02		-8.0E-04	6.0E-01	6.8E-01
-7.8E-04	-6.4E-02	-5.2E-02		-7.8E-04	5.2E-01	6.0E-01
-7.6E-04	-8.4E-02	-6.8E-02		-7.6E-04	6.0E-01	6.4E-01
-7.4E-04	-1.16E-01	-8.4E-02		-7.4E-04	5.6E-01	6.8E-01
-7.2E-04	-1.48E-01	-1.16E-01		-7.2E-04	5.6E-01	6.4E-01
-7.0E-04	-1.76E-01	-1.52E-01		-7.0E-04	5.6E-01	6.4E-01
-6.8E-04	-1.96E-01	-1.80E-01		-6.8E-04	5.6E-01	6.8E-01
-6.6E-04	-2.04E-01	-1.88E-01		-6.6E-04	6.0E-01	6.8E-01
-6.4E-04	-2.44E-01	-2.08E-01		-6.4E-04	5.6E-01	6.4E-01
-6.2E-04	-2.96E-01	-2.48E-01		-6.2E-04	5.6E-01	6.4E-01
-6.0E-04	-3.64E-01	-3.00E-01		-6.0E-04	5.6E-01	6.0E-01
-5.8E-04	-3.72E-01	-3.64E-01		-5.8E-04	6.0E-01	6.8E-01
-5.6E-04	-4.20E-01	-3.76E-01		-5.6E-04	5.6E-01	6.4E-01
-5.4E-04	-4.84E-01	-4.24E-01		-5.4E-04	5.6E-01	6.8E-01
-5.2E-04	-4.64E-01	-3.28E-01		-5.2E-04	5.2E-01	6.8E-01
-5.0E-04	-3.24E-01	-2.68E-01		-5.0E-04	6.0E-01	7.2E-01
-4.8E-04	-2.64E-01	-2.40E-01		-4.8E-04	5.6E-01	6.8E-01
-4.6E-04	-2.44E-01	-2.12E-01		-4.6E-04	5.6E-01	6.4E-01
-4.4E-04	-2.08E-01	-1.76E-01		-4.4E-04	5.6E-01	6.8E-01
-4.2E-04	-1.76E-01	-1.32E-01		-4.2E-04	6.0E-01	6.4E-01
-4.0E-04	-1.32E-01	-1.04E-01		-4.0E-04	6.0E-01	6.8E-01
-3.8E-04	-9.6E-02	-7.2E-02		-3.8E-04	5.2E-01	7.2E-01
-3.6E-04	-7.6E-02	-6.4E-02		-3.6E-04	5.2E-01	6.4E-01
-3.4E-04	-6.4E-02	-5.6E-02		-3.4E-04	5.6E-01	6.4E-01
-3.2E-04	-5.6E-02	-4.8E-02		-3.2E-04	5.6E-01	7.2E-01
-3.0E-04	-5.2E-02	-4.0E-02		-3.0E-04	5.6E-01	6.4E-01
-2.8E-04	-4.0E-02	-2.8E-02		-2.8E-04	5.6E-01	6.4E-01
-2.6E-04	-4.0E-02	-3.2E-02		-2.6E-04	5.6E-01	6.8E-01
-2.4E-04	-4.0E-02	-2.8E-02		-2.4E-04	6.4E-01	6.8E-01
-2.2E-04	-4.0E-02	-3.2E-02		-2.2E-04	6.0E-01	6.4E-01
-2.0E-04	-3.6E-02	-3.2E-02		-2.0E-04	5.6E-01	6.8E-01
-1.8E-04	-4.0E-02	-2.8E-02		-1.8E-04	5.6E-01	6.4E-01
-1.6E-04	-3.2E-02	-2.4E-02		-1.6E-04	6.4E-01	6.8E-01
-1.4E-04	-3.2E-02	-2.8E-02		-1.4E-04	5.6E-01	6.8E-01
-1.2E-04	-3.6E-02	-2.8E-02		-1.2E-04	6.0E-01	6.4E-01
-1.0E-04	-3.6E-02	-2.8E-02		-1.0E-04	6.0E-01	6.8E-01
-8.E-05	-3.2E-02	-2.4E-02		-8.E-05	6.0E-01	6.4E-01
-6.E-05	-2.8E-02	-2.8E-02		-6.E-05	6.0E-01	6.8E-01
-4.E-05	-3.2E-02	-2.4E-02		-4.E-05	5.6E-01	6.0E-01
-2.E-05	-2.8E-02	-2.0E-02		-2.E-05	6.0E-01	6.8E-01
0.E-05	-2.8E-02	-2.4E-02		0.E-05	6.4E-01	6.8E-01
2.E-05	-3.2E-02	-2.4E-02		2.E-05	6.0E-01	6.8E-01
4.E-05	-3.2E-02	-2.4E-02		4.E-05	5.6E-01	6.4E-01
6.E-05	-3.2E-02	-2.4E-02		6.E-05	5.6E-01	6.4E-01
