"Title        "	"Input A"	 		"Title        "	"Input B"	 
"ID           "	1	 		"ID           "	1	 
"Type         "	"Envelope"	 		"Type         "	"Envelope"	 
"Date         "	01/01/95	 		"Date         "	01/01/95	 
"Time         "	22:57:10	 		"Time         "	22:57:10	 
"X Scale      "	2.00E-04	 		"X Scale      "	2.00E-04	 
"X At 0%      "	-1.759E-03	 		"X At 0%      "	-1.759E-03	 
"X Resolution "	2.500000E+01	 		"X Resolution "	2.500000E+01	 
"X Size       "	300	 		"X Size       "	300	 
"X Unit       "	"s"	 		"X Unit       "	"s"	 
"X Label      "	"200 us/Div"	 		"X Label      "	"200 us/Div"	 
"Y Scale      "	1.00E-01	 		"Y Scale      "	1.00E+00	 
"Y At 50%     "	-4.00E-01	 		"Y At 50%     "	1.68E+00	 
"Y Resolution "	2.500000E+01	 		"Y Resolution "	2.500000E+01	 
"Y Size       "	256	 		"Y Size       "	256	 
"Y Unit       "	"V"	 		"Y Unit       "	"V"	 
"Y Label      "	"mV"	 		"Y Label      "	"V"	 

-1.759E-03	-3.6E-02	-2.4E-02		-1.759E-03	5.6E-01	6.8E-01
-1.751E-03	-3.6E-02	-2.8E-02		-1.751E-03	5.6E-01	6.8E-01
-1.743E-03	-3.2E-02	-2.0E-02		-1.743E-03	5.6E-01	6.8E-01
-1.735E-03	-3.2E-02	-2.4E-02		-1.735E-03	5.6E-01	6.8E-01
-1.727E-03	-3.6E-02	-2.8E-02		-1.727E-03	6.0E-01	6.8E-01
-1.719E-03	-3.2E-02	-2.4E-02		-1.719E-03	5.6E-01	6.4E-01
-1.711E-03	-3.2E-02	-2.4E-02		-1.711E-03	5.6E-01	6.8E-01
-1.703E-03	-3.2E-02	-2.4E-02		-1.703E-03	5.6E-01	6.4E-01
-1.695E-03	-3.6E-02	-2.4E-02		-1.695E-03	6.0E-01	6.4E-01
-1.687E-03	-4.0E-02	-2.8E-02		-1.687E-03	5.6E-01	6.4E-01
-1.679E-03	-3.2E-02	-2.4E-02		-1.679E-03	5.6E-01	6.4E-01
-1.671E-03	-3.2E-02	-2.8E-02		-1.671E-03	5.6E-01	6.8E-01
-1.663E-03	-4.0E-02	-2.8E-02		-1.663E-03	6.0E-01	6.8E-01
-1.655E-03	-3.6E-02	-2.8E-02		-1.655E-03	5.6E-01	6.4E-01
-1.647E-03	-3.2E-02	-2.4E-02		-1.647E-03	5.6E-01	6.4E-01
-1.639E-03	-4.0E-02	-2.8E-02		-1.639E-03	6.0E-01	6.8E-01
-1.631E-03	-3.6E-02	-2.8E-02		-1.631E-03	5.2E-01	6.8E-01
-1.623E-03	-4.0E-02	-2.4E-02		-1.623E-03	5.6E-01	6.4E-01
-1.615E-03	-3.2E-02	-2.4E-02		-1.615E-03	5.6E-01	6.4E-01
-1.607E-03	-3.2E-02	-2.4E-02		-1.607E-03	5.6E-01	6.4E-01
-1.599E-03	-3.6E-02	-2.8E-02		-1.599E-03	5.6E-01	6.8E-01
-1.591E-03	-3.6E-02	-2.8E-02		-1.591E-03	4.8E-01	6.4E-01
-1.583E-03	-3.6E-02	-2.0E-02		-1.583E-03	5.2E-01	6.4E-01
-1.575E-03	-4.0E-02	-3.2E-02		-1.575E-03	6.0E-01	6.8E-01
-1.567E-03	-3.6E-02	-2.8E-02		-1.567E-03	5.2E-01	6.4E-01
-1.559E-03	-3.6E-02	-2.8E-02		-1.559E-03	6.0E-01	6.4E-01
-1.551E-03	-3.2E-02	-2.4E-02		-1.551E-03	5.2E-01	6.4E-01
-1.543E-03	-4.4E-02	-3.2E-02		-1.543E-03	6.0E-01	6.8E-01
-1.535E-03	-3.6E-02	-2.8E-02		-1.535E-03	5.6E-01	6.8E-01
-1.527E-03	-4.0E-02	-3.2E-02		-1.527E-03	6.0E-01	6.8E-01
-1.519E-03	-3.6E-02	-2.8E-02		-1.519E-03	6.0E-01	6.8E-01
-1.511E-03	-3.2E-02	-2.0E-02		-1.511E-03	5.6E-01	6.8E-01
-1.503E-03	-3.6E-02	-3.2E-02		-1.503E-03	5.6E-01	6.8E-01
-1.495E-03	-4.0E-02	-3.2E-02		-1.495E-03	5.6E-01	6.4E-01
-1.487E-03	-4.0E-02	-3.2E-02		-1.487E-03	6.0E-01	6.8E-01
-1.479E-03	-3.6E-02	-2.8E-02		-1.479E-03	5.6E-01	6.4E-01
-1.471E-03	-4.0E-02	-2.8E-02		-1.471E-03	5.6E-01	6.8E-01
-1.463E-03	-4.0E-02	-3.6E-02		-1.463E-03	5.2E-01	6.8E-01
