"Title        "	"Input A"	 		"Title        "	"Input B"	 
"ID           "	1	 		"ID           "	1	 
"Type         "	"Envelope"	 		"Type         "	"Envelope"	 
"Date         "	01/01/95	 		"Date         "	01/01/95	 
"Time         "	22:03:27	 		"Time         "	22:03:27	 
"X Scale      "	1.00E-04	 		"X Scale      "	1.00E-04	 
"X At 0%      "	0.E-06	 		"X At 0%      "	0.E-06	 
"X Resolution "	2.500000E+01	 		"X Resolution "	2.500000E+01	 
"X Size       "	300	 		"X Size       "	300	 
"X Unit       "	"s"	 		"X Unit       "	"s"	 
"X Label      "	"100 us/Div"	 		"X Label      "	"100 us/Div"	 
"Y Scale      "	1.00E-01	 		"Y Scale      "	1.00E+00	 
"Y At 50%     "	-4.00E-01	 		"Y At 50%     "	1.68E+00	 
"Y Resolution "	2.500000E+01	 		"Y Resolution "	2.500000E+01	 
"Y Size       "	256	 		"Y Size       "	256	 
"Y Unit       "	"V"	 		"Y Unit       "	"V"	 
"Y Label      "	"mV"	 		"Y Label      "	"V"	 

0.E-06	-3.2E-02	-2.0E-02		0.E-06	5.6E-01	6.4E-01
4.E-06	-2.8E-02	-2.4E-02		4.E-06	6.0E-01	7.2E-01
8.E-06	-2.8E-02	-1.6E-02		8.E-06	6.0E-01	6.4E-01
1.2E-05	-2.8E-02	-2.4E-02		1.2E-05	5.6E-01	6.4E-01
1.6E-05	-2.4E-02	-2.0E-02		1.6E-05	5.6E-01	6.4E-01
2.0E-05	-3.2E-02	-2.8E-02		2.0E-05	6.0E-01	6.4E-01
2.4E-05	-2.4E-02	-2.0E-02		2.4E-05	5.6E-01	6.4E-01
2.8E-05	-2.8E-02	-1.6E-02		2.8E-05	5.2E-01	6.8E-01
3.2E-05	-2.8E-02	-2.4E-02		3.2E-05	5.2E-01	6.0E-01
3.6E-05	-2.8E-02	-2.4E-02		3.6E-05	6.0E-01	6.4E-01
4.0E-05	-3.2E-02	-2.0E-02		4.0E-05	5.6E-01	6.0E-01
4.4E-05	-2.8E-02	-2.4E-02		4.4E-05	5.6E-01	6.8E-01
4.8E-05	-2.8E-02	-2.4E-02		4.8E-05	6.0E-01	6.4E-01
5.2E-05	-3.2E-02	-2.4E-02		5.2E-05	6.0E-01	6.4E-01
5.6E-05	-2.8E-02	-2.4E-02		5.6E-05	6.0E-01	6.4E-01
6.0E-05	-2.8E-02	-2.4E-02		6.0E-05	5.2E-01	6.4E-01
6.4E-05	-3.2E-02	-2.4E-02		6.4E-05	5.6E-01	6.8E-01
6.8E-05	-2.8E-02	-2.0E-02		6.8E-05	5.6E-01	6.4E-01
7.2E-05	-2.8E-02	-2.4E-02		7.2E-05	6.4E-01	7.2E-01
7.6E-05	-2.8E-02	-2.4E-02		7.6E-05	6.0E-01	7.2E-01
8.0E-05	-3.2E-02	-2.4E-02		8.0E-05	6.0E-01	6.8E-01
8.4E-05	-2.4E-02	-2.0E-02		8.4E-05	5.2E-01	6.0E-01
8.8E-05	-2.4E-02	-2.0E-02		8.8E-05	6.0E-01	7.2E-01
9.2E-05	-3.2E-02	-2.0E-02		9.2E-05	6.0E-01	6.8E-01
9.6E-05	-3.2E-02	-2.4E-02		9.6E-05	5.6E-01	6.8E-01
1.00E-04	-3.2E-02	-2.4E-02		1.00E-04	6.0E-01	6.4E-01
1.04E-04	-2.8E-02	-2.4E-02		1.04E-04	6.0E-01	6.4E-01
1.08E-04	-2.8E-02	-2.0E-02		1.08E-04	5.2E-01	6.8E-01
1.12E-04	-3.6E-02	-2.8E-02		1.12E-04	6.0E-01	6.4E-01
1.16E-04	-3.2E-02	-2.0E-02		1.16E-04	6.0E-01	6.8E-01
1.20E-04	-2.8E-02	-2.0E-02		1.20E-04	6.0E-01	6.8E-01
1.24E-04	-3.2E-02	-2.8E-02		1.24E-04	6.0E-01	7.2E-01
1.28E-04	-2.8E-02	-2.4E-02		1.28E-04	5.6E-01	6.4E-01
1.32E-04	-2.8E-02	-2.4E-02		1.32E-04	6.0E-01	6.4E-01
1.36E-04	-3.2E-02	-2.4E-02		1.36E-04	5.6E-01	6.8E-01
1.40E-04	-2.8E-02	-2.0E-02		1.40E-04	6.0E-01	6.8E-01
1.44E-04	-2.8E-02	-2.0E-02		1.44E-04	5.6E-01	6.4E-01
1.48E-04	-2.8E-02	-2.4E-02		1.48E-04	6.0E-01	6.8E-01
1.52E-04	-3.2E-02	-2.0E-02		1.52E-04	5.6E-01	6.4E-01
1.56E-04	-3.6E-02	-2.8E-02		1.56E-04	6.4E-01	6.8E-01
