240	500	20
250	480	20
254	480	20
258	460	20
262	460	20
266	460	20
270	420	20
274	390	10
278	350	10
282	310	10
286	270	10
290	230	10
294	200	10
298	180	10
300	170	10
302	152	4
304	128	4
306	120	4
308	116	4
310	116	4
312	104	4
314	92	4
316	80	2
318	76	2
320	72	2
322	66	2
324	62	2
326	60	2
328	58	2
330	50	2
332	50	2
334	48	2
336	44	2
338	42	2
340	40	1
342	38	1
344	34	1
346	32	1
348	32	1
350	31	1
352	28	1
354	25	1
356	24	1
358	22	1
360	22	1
2	20	1
4	19	1
6	19	1
8	17	1
10	14.8	0.8
12	14.8	0.8
14	14.8	0.8
16	14.0	0.8
18	12.8	0.8
20	12.4	0.8
22	12.0	0.8
24	11.2	0.8
26	10.0	0.8
28	9.2	0.8
30	8.8	0.8
32	8.0	0.8
34	7.2	0.8
36	6.4	0.4
38	6.2	0.4
40	5.8	0.4
42	5.4	0.4
44	4.8	0.4
46	4.6	0.4
48	4.4	0.4
50	4.0	0.4
52	3.6	0.2
54	3.3	0.2
56	2.9	0.2
58	2.7	0.2
60	2.3	0.2
62	2.1	0.2
64	1.9	0.2
66	1.7	0.2
68	1.8	0.2
70	1.6	0.2
72	1.5	0.2
74	1.4	0.2
76	1.3	0.2
78	1.3	0.2
80	1.1	0.2
82	1.0	0.2
84	0.9	0.2
86	0.9	0.2
88	0.8	0.2
90	0.7	0.2
92	0.6	0.2
94	0.6	0.2
96	0.5	0.2
98	0.5	0.2
100	0.5	0.2
102	0.4	0.2
104	0.4	0.2
106	0.3	0.2	
