140	18	1
135	12.5	1
130	7.5	1
125	4	1
120	2	1
115	1	1
110	0	1
105	0	1
100	0	1
95	0.5	1
90	0.5	1
85	0.5	1
80	1	1
75	1.5	1
70	1.5	1
65	2	1
60	2	1
55	2	1
50	3	1
45	4	1
40	6	1
35	7.5	1
30	10	1
25	14	1
20	21.5	1
15	28	1
10	36	1	
5	44	2
0	52	2
-5	58	2
-10	60	2
-15	58	2
-20	52	2
-25	46	2
-30	38	1
-35	30	1
-40	22.5	1
-45	15	1
-50	9	1
-55	5.5	1
-60	2.5	1
-65	1.5	1
-70	0.5	1
-75	0.5	1
-80	0	1
-85	0	1
-90	0	1
-95	0.5	1
-100	0.5	1
-105	1	1
-110	1	1
-115	1.5	1
-120	1.5	1
-125	2	1
-130	2.5	1
-135	3.5	1
-140	5	1
