Title, 
Type, DCV_(020)
MAX, 100,23, V, 23.17.51
MIN, 1,1479, V, 23.22.58
AVG., 55,79, V

No, Date, Time, Value, Unit
 0121, 2017/11/07, 23.19.51, 73,30, V
 0122, 2017/11/07, 23.19.52, 73,11, V
 0123, 2017/11/07, 23.19.53, 72,88, V
 0124, 2017/11/07, 23.19.54, 72,72, V
 0125, 2017/11/07, 23.19.55, 72,45, V
 0126, 2017/11/07, 23.19.56, 72,20, V
 0127, 2017/11/07, 23.19.57, 71,99, V
 0128, 2017/11/07, 23.19.58, 71,77, V
 0129, 2017/11/07, 23.19.59, 71,47, V
 0130, 2017/11/07, 23.20.00, 71,15, V
 0131, 2017/11/07, 23.20.01, 70,81, V
 0132, 2017/11/07, 23.20.02, 70,77, V
 0133, 2017/11/07, 23.20.03, 70,48, V
 0134, 2017/11/07, 23.20.04, 70,19, V
 0135, 2017/11/07, 23.20.05, 69,78, V
 0136, 2017/11/07, 23.20.06, 69,58, V
 0137, 2017/11/07, 23.20.07, 69,36, V
 0138, 2017/11/07, 23.20.08, 68,98, V
 0139, 2017/11/07, 23.20.09, 68,77, V
 0140, 2017/11/07, 23.20.10, 68,56, V
 0141, 2017/11/07, 23.20.11, 68,34, V
 0142, 2017/11/07, 23.20.12, 68,22, V
 0143, 2017/11/07, 23.20.13, 67,99, V
 0144, 2017/11/07, 23.20.14, 67,65, V
 0145, 2017/11/07, 23.20.15, 67,40, V
 0146, 2017/11/07, 23.20.16, 67,14, V
 0147, 2017/11/07, 23.20.17, 66,73, V
 0148, 2017/11/07, 23.20.18, 66,49, V
 0149, 2017/11/07, 23.20.19, 66,25, V
 0150, 2017/11/07, 23.20.20, 65,88, V
 0151, 2017/11/07, 23.20.21, 65,66, V
 0152, 2017/11/07, 23.20.22, 65,36, V
 0153, 2017/11/07, 23.20.23, 65,11, V
 0154, 2017/11/07, 23.20.24, 64,91, V
 0155, 2017/11/07, 23.20.25, 64,56, V
 0156, 2017/11/07, 23.20.26, 64,22, V
 0157, 2017/11/07, 23.20.27, 63,94, V
 0158, 2017/11/07, 23.20.28, 63,72, V
 0159, 2017/11/07, 23.20.29, 63,41, V
 0160, 2017/11/07, 23.20.30, 62,99, V
 0161, 2017/11/07, 23.20.31, 62,72, V
 0162, 2017/11/07, 23.20.32, 62,57, V
 0163, 2017/11/07, 23.20.33, 62,16, V
 0164, 2017/11/07, 23.20.34, 61,70, V
 0165, 2017/11/07, 23.20.35, 61,43, V
 0166, 2017/11/07, 23.20.36, 61,20, V
 0167, 2017/11/07, 23.20.37, 60,68, V
 0168, 2017/11/07, 23.20.38, 60,31, V
 0169, 2017/11/07, 23.20.39, 59,82, V
 0170, 2017/11/07, 23.20.40, 59,50, V
 0171, 2017/11/07, 23.20.41, 59,12, V
 0172, 2017/11/07, 23.20.42, 58,59, V
 0173, 2017/11/07, 23.20.43, 58,33, V
 0174, 2017/11/07, 23.20.44, 57,71, V
 0175, 2017/11/07, 23.20.45, 57,26, V
 0176, 2017/11/07, 23.20.46, 56,62, V
 0177, 2017/11/07, 23.20.47, 56,28, V
 0178, 2017/11/07, 23.20.48, 55,69, V
 0179, 2017/11/07, 23.20.49, 55,12, V
 0180, 2017/11/07, 23.20.50, 55,12, V
 0181, 2017/11/07, 23.20.51, 54,329, V
 0182, 2017/11/07, 23.20.52, 53,954, V
 0183, 2017/11/07, 23.20.53, 53,595, V
 0184, 2017/11/07, 23.20.54, 53,342, V
 0185, 2017/11/07, 23.20.55, 53,131, V
 0186, 2017/11/07, 23.20.56, 52,884, V
 0187, 2017/11/07, 23.20.57, 52,577, V
 0188, 2017/11/07, 23.20.58, 52,393, V
 0189, 2017/11/07, 23.20.59, 52,246, V
 0190, 2017/11/07, 23.21.00, 51,857, V
 0191, 2017/11/07, 23.21.01, 51,481, V
 0192, 2017/11/07, 23.21.02, 51,215, V
 0193, 2017/11/07, 23.21.03, 50,747, V
 0194, 2017/11/07, 23.21.04, 50,473, V
 0195, 2017/11/07, 23.21.05, 49,930, V
 0196, 2017/11/07, 23.21.06, 49,567, V
 0197, 2017/11/07, 23.21.07, 49,459, V
 0198, 2017/11/07, 23.21.08, 49,100, V
 0199, 2017/11/07, 23.21.09, 48,798, V
 0200, 2017/11/07, 23.21.10, 48,377, V
 0201, 2017/11/07, 23.21.11, 48,021, V
 0202, 2017/11/07, 23.21.12, 47,442, V
 0203, 2017/11/07, 23.21.13, 47,012, V
 0204, 2017/11/07, 23.21.14, 46,534, V
 0205, 2017/11/07, 23.21.15, 46,192, V
 0206, 2017/11/07, 23.21.16, 45,622, V
 0207, 2017/11/07, 23.21.17, 45,159, V
 0208, 2017/11/07, 23.21.18, 44,476, V
 0209, 2017/11/07, 23.21.19, 43,807, V
 0210, 2017/11/07, 23.21.20, 43,361, V
 0211, 2017/11/07, 23.21.21, 42,394, V
 0212, 2017/11/07, 23.21.22, 41,643, V
 0213, 2017/11/07, 23.21.23, 41,245, V
 0214, 2017/11/07, 23.21.24, 40,617, V
 0215, 2017/11/07, 23.21.25, 40,420, V
 0216, 2017/11/07, 23.21.26, 40,039, V
 0217, 2017/11/07, 23.21.27, 39,518, V
 0218, 2017/11/07, 23.21.28, 39,379, V
 0219, 2017/11/07, 23.21.29, 39,233, V
 0220, 2017/11/07, 23.21.30, 38,723, V
 0221, 2017/11/07, 23.21.31, 38,200, V
 0222, 2017/11/07, 23.21.32, 37,964, V
 0223, 2017/11/07, 23.21.33, 37,615, V
 0224, 2017/11/07, 23.21.34, 37,326, V
 0225, 2017/11/07, 23.21.35, 37,026, V
 0226, 2017/11/07, 23.21.36, 36,771, V
 0227, 2017/11/07, 23.21.37, 36,310, V
 0228, 2017/11/07, 23.21.38, 35,969, V
 0229, 2017/11/07, 23.21.39, 35,740, V
