Title, 
Type, DCV_(022)
MAX, 70,01, V, 23.36.16
MIN, 29,999, V, 23.33.12
AVG., 49,552, V

No, Date, Time, Value, Unit
 0001, 2017/11/07, 23.33.12, 29,999, V
 0002, 2017/11/07, 23.33.13, 29,999, V
 0003, 2017/11/07, 23.33.14, 29,999, V
 0004, 2017/11/07, 23.33.15, 29,999, V
 0005, 2017/11/07, 23.33.16, 30,000, V
 0006, 2017/11/07, 23.33.17, 30,000, V
 0007, 2017/11/07, 23.33.18, 29,999, V
 0008, 2017/11/07, 23.33.19, 30,000, V
 0009, 2017/11/07, 23.33.20, 30,000, V
 0010, 2017/11/07, 23.33.21, 30,000, V
 0011, 2017/11/07, 23.33.22, 30,000, V
 0012, 2017/11/07, 23.33.23, 30,000, V
 0013, 2017/11/07, 23.33.24, 29,999, V
 0014, 2017/11/07, 23.33.25, 29,999, V
 0015, 2017/11/07, 23.33.26, 29,999, V
 0016, 2017/11/07, 23.33.27, 29,999, V
 0017, 2017/11/07, 23.33.28, 30,000, V
 0018, 2017/11/07, 23.33.29, 30,000, V
 0019, 2017/11/07, 23.33.30, 29,999, V
 0020, 2017/11/07, 23.33.31, 29,999, V
 0021, 2017/11/07, 23.33.32, 29,999, V
 0022, 2017/11/07, 23.33.33, 29,999, V
 0023, 2017/11/07, 23.33.34, 29,999, V
 0024, 2017/11/07, 23.33.35, 29,999, V
 0025, 2017/11/07, 23.33.36, 29,999, V
 0026, 2017/11/07, 23.33.37, 30,127, V
 0027, 2017/11/07, 23.33.38, 30,237, V
 0028, 2017/11/07, 23.33.39, 30,391, V
 0029, 2017/11/07, 23.33.40, 30,584, V
 0030, 2017/11/07, 23.33.41, 30,827, V
 0031, 2017/11/07, 23.33.42, 31,120, V
 0032, 2017/11/07, 23.33.43, 31,673, V
 0033, 2017/11/07, 23.33.44, 32,139, V
 0034, 2017/11/07, 23.33.45, 32,693, V
 0035, 2017/11/07, 23.33.46, 33,022, V
 0036, 2017/11/07, 23.33.47, 33,219, V
 0037, 2017/11/07, 23.33.48, 33,532, V
 0038, 2017/11/07, 23.33.49, 33,808, V
 0039, 2017/11/07, 23.33.50, 34,131, V
 0040, 2017/11/07, 23.33.51, 34,354, V
 0041, 2017/11/07, 23.33.52, 34,544, V
 0042, 2017/11/07, 23.33.53, 34,752, V
 0043, 2017/11/07, 23.33.54, 35,018, V
 0044, 2017/11/07, 23.33.55, 35,502, V
 0045, 2017/11/07, 23.33.56, 35,838, V
 0046, 2017/11/07, 23.33.57, 36,206, V
 0047, 2017/11/07, 23.33.58, 36,361, V
 0048, 2017/11/07, 23.33.59, 36,729, V
 0049, 2017/11/07, 23.34.00, 36,988, V
 0050, 2017/11/07, 23.34.01, 37,333, V
 0051, 2017/11/07, 23.34.02, 37,499, V
 0052, 2017/11/07, 23.34.03, 37,679, V
 0053, 2017/11/07, 23.34.04, 37,926, V
 0054, 2017/11/07, 23.34.05, 38,077, V
 0055, 2017/11/07, 23.34.06, 38,360, V
 0056, 2017/11/07, 23.34.07, 38,504, V
 0057, 2017/11/07, 23.34.08, 38,863, V
 0058, 2017/11/07, 23.34.09, 39,127, V
 0059, 2017/11/07, 23.34.10, 39,449, V
 0060, 2017/11/07, 23.34.11, 39,700, V
 0061, 2017/11/07, 23.34.12, 39,917, V
 0062, 2017/11/07, 23.34.13, 40,033, V
 0063, 2017/11/07, 23.34.14, 40,294, V
 0064, 2017/11/07, 23.34.15, 40,397, V
 0065, 2017/11/07, 23.34.16, 40,601, V
 0066, 2017/11/07, 23.34.17, 40,823, V
 0067, 2017/11/07, 23.34.18, 41,016, V
 0068, 2017/11/07, 23.34.19, 41,300, V
 0069, 2017/11/07, 23.34.20, 41,688, V
 0070, 2017/11/07, 23.34.21, 41,847, V
 0071, 2017/11/07, 23.34.22, 42,152, V
 0072, 2017/11/07, 23.34.23, 42,340, V
 0073, 2017/11/07, 23.34.24, 42,633, V
 0074, 2017/11/07, 23.34.25, 42,891, V
 0075, 2017/11/07, 23.34.26, 43,414, V
 0076, 2017/11/07, 23.34.27, 43,675, V
 0077, 2017/11/07, 23.34.28, 44,213, V
 0078, 2017/11/07, 23.34.29, 44,411, V
 0079, 2017/11/07, 23.34.30, 44,617, V
 0080, 2017/11/07, 23.34.31, 44,838, V
 0081, 2017/11/07, 23.34.32, 45,174, V
 0082, 2017/11/07, 23.34.33, 45,364, V
 0083, 2017/11/07, 23.34.34, 45,741, V
 0084, 2017/11/07, 23.34.35, 46,161, V
 0085, 2017/11/07, 23.34.36, 46,577, V
 0086, 2017/11/07, 23.34.37, 46,925, V
 0087, 2017/11/07, 23.34.38, 47,349, V
 0088, 2017/11/07, 23.34.39, 47,650, V
 0089, 2017/11/07, 23.34.40, 47,772, V
 0090, 2017/11/07, 23.34.41, 47,987, V
 0091, 2017/11/07, 23.34.42, 48,190, V
 0092, 2017/11/07, 23.34.43, 48,379, V
 0093, 2017/11/07, 23.34.44, 48,605, V
 0094, 2017/11/07, 23.34.45, 48,770, V
 0095, 2017/11/07, 23.34.46, 48,946, V
 0096, 2017/11/07, 23.34.47, 49,244, V
 0097, 2017/11/07, 23.34.48, 49,448, V
 0098, 2017/11/07, 23.34.49, 49,688, V
 0099, 2017/11/07, 23.34.50, 50,018, V
 0100, 2017/11/07, 23.34.51, 50,115, V
 0101, 2017/11/07, 23.34.52, 50,323, V
 0102, 2017/11/07, 23.34.53, 50,532, V
 0103, 2017/11/07, 23.34.54, 50,611, V
 0104, 2017/11/07, 23.34.55, 50,745, V
 0105, 2017/11/07, 23.34.56, 50,942, V
 0106, 2017/11/07, 23.34.57, 51,040, V
 0107, 2017/11/07, 23.34.58, 51,336, V
 0108, 2017/11/07, 23.34.59, 51,650, V
 0109, 2017/11/07, 23.35.00, 51,803, V
 0110, 2017/11/07, 23.35.01, 51,908, V
 0111, 2017/11/07, 23.35.02, 52,202, V
 0112, 2017/11/07, 23.35.03, 52,395, V
 0113, 2017/11/07, 23.35.04, 52,661, V
 0114, 2017/11/07, 23.35.05, 52,947, V
 0115, 2017/11/07, 23.35.06, 53,188, V
 0116, 2017/11/07, 23.35.07, 53,522, V
 0117, 2017/11/07, 23.35.08, 53,762, V
 0118, 2017/11/07, 23.35.09, 53,969, V
 0119, 2017/11/07, 23.35.10, 54,222, V
 0120, 2017/11/07, 23.35.11, 54,395, V
 0121, 2017/11/07, 23.35.12, 54,632, V
 0122, 2017/11/07, 23.35.13, 54,843, V
 0123, 2017/11/07, 23.35.14, 55,200, V
 0124, 2017/11/07, 23.35.15, 55,509, V
 0125, 2017/11/07, 23.35.16, 55,768, V
 0126, 2017/11/07, 23.35.17, 56,015, V
 0127, 2017/11/07, 23.35.18, 56,151, V
 0128, 2017/11/07, 23.35.19, 56,510, V
 0129, 2017/11/07, 23.35.20, 56,791, V
 0130, 2017/11/07, 23.35.21, 57,094, V
 0131, 2017/11/07, 23.35.22, 57,518, V
 0132, 2017/11/07, 23.35.23, 57,684, V
 0133, 2017/11/07, 23.35.24, 57,991, V
 0134, 2017/11/07, 23.35.25, 58,281, V
 0135, 2017/11/07, 23.35.26, 58,399, V
 0136, 2017/11/07, 23.35.27, 58,830, V
 0137, 2017/11/07, 23.35.28, 59,103, V
 0138, 2017/11/07, 23.35.29, 59,424, V
 0139, 2017/11/07, 23.35.30, 59,720, V
 0140, 2017/11/07, 23.35.31, 59,852, V
 0141, 2017/11/07, 23.35.32, 60,47, V
 0142, 2017/11/07, 23.35.33, 60,70, V
 0143, 2017/11/07, 23.35.34, 61,10, V
 0144, 2017/11/07, 23.35.35, 61,19, V
 0145, 2017/11/07, 23.35.36, 61,65, V
 0146, 2017/11/07, 23.35.37, 61,84, V
 0147, 2017/11/07, 23.35.38, 62,21, V
 0148, 2017/11/07, 23.35.39, 62,45, V
 0149, 2017/11/07, 23.35.40, 62,79, V
 0150, 2017/11/07, 23.35.41, 63,28, V
 0151, 2017/11/07, 23.35.42, 63,46, V
 0152, 2017/11/07, 23.35.43, 63,79, V
 0153, 2017/11/07, 23.35.44, 64,01, V
 0154, 2017/11/07, 23.35.45, 64,35, V
 0155, 2017/11/07, 23.35.46, 64,62, V
 0156, 2017/11/07, 23.35.47, 64,84, V
 0157, 2017/11/07, 23.35.48, 65,06, V
 0158, 2017/11/07, 23.35.49, 65,38, V
 0159, 2017/11/07, 23.35.50, 65,56, V
 0160, 2017/11/07, 23.35.51, 65,81, V
 0161, 2017/11/07, 23.35.52, 66,01, V
 0162, 2017/11/07, 23.35.53, 66,21, V
 0163, 2017/11/07, 23.35.54, 66,39, V
 0164, 2017/11/07, 23.35.55, 66,72, V
 0165, 2017/11/07, 23.35.56, 67,01, V
 0166, 2017/11/07, 23.35.57, 67,19, V
 0167, 2017/11/07, 23.35.58, 67,48, V
 0168, 2017/11/07, 23.35.59, 67,75, V
 0169, 2017/11/07, 23.36.00, 68,02, V
 0170, 2017/11/07, 23.36.01, 68,31, V
 0171, 2017/11/07, 23.36.02, 68,60, V
 0172, 2017/11/07, 23.36.03, 68,72, V
 0173, 2017/11/07, 23.36.04, 68,88, V
 0174, 2017/11/07, 23.36.05, 69,00, V
 0175, 2017/11/07, 23.36.06, 69,10, V
 0176, 2017/11/07, 23.36.07, 69,13, V
 0177, 2017/11/07, 23.36.08, 69,22, V
 0178, 2017/11/07, 23.36.09, 69,27, V
 0179, 2017/11/07, 23.36.10, 69,35, V
 0180, 2017/11/07, 23.36.11, 69,41, V
 0181, 2017/11/07, 23.36.12, 69,56, V
 0182, 2017/11/07, 23.36.13, 69,57, V
 0183, 2017/11/07, 23.36.14, 69,77, V
 0184, 2017/11/07, 23.36.15, 69,97, V
 0185, 2017/11/07, 23.36.16, 70,01, V
 0186, 2017/11/07, 23.36.17, 70,00, V
 0187, 2017/11/07, 23.36.18, 69,99, V
 0188, 2017/11/07, 23.36.19, 70,00, V
 0189, 2017/11/07, 23.36.20, 70,00, V
 0190, 2017/11/07, 23.36.21, 70,00, V
 0191, 2017/11/07, 23.36.22, 70,00, V
 0192, 2017/11/07, 23.36.23, 69,99, V
 0193, 2017/11/07, 23.36.24, 70,00, V
 0194, 2017/11/07, 23.36.25, 69,99, V
 0195, 2017/11/07, 23.36.26, 70,00, V
 0196, 2017/11/07, 23.36.27, 69,99, V
