Title, 
Type, DCV_(022)
MAX, 70,04, V, 23.44.45
MIN, 29,938, V, 23.42.14
AVG., 49,539, V
No, Date, Time, Value, Unit
 0001, 2017/11/07, 23.42.05, 30,012, V
 0002, 2017/11/07, 23.42.06, 30,012, V
 0003, 2017/11/07, 23.42.07, 30,012, V
 0004, 2017/11/07, 23.42.08, 30,012, V
 0005, 2017/11/07, 23.42.09, 30,013, V
 0006, 2017/11/07, 23.42.10, 30,013, V
 0007, 2017/11/07, 23.42.11, 30,013, V
 0008, 2017/11/07, 23.42.12, 30,013, V
 0009, 2017/11/07, 23.42.13, 29,996, V
 0010, 2017/11/07, 23.42.14, 29,938, V
 0011, 2017/11/07, 23.42.15, 29,938, V
 0012, 2017/11/07, 23.42.16, 29,938, V
 0013, 2017/11/07, 23.42.17, 29,939, V
 0014, 2017/11/07, 23.42.18, 29,940, V
 0015, 2017/11/07, 23.42.19, 29,940, V
 0016, 2017/11/07, 23.42.20, 30,100, V
 0017, 2017/11/07, 23.42.21, 30,415, V
 0018, 2017/11/07, 23.42.22, 30,610, V
 0019, 2017/11/07, 23.42.23, 30,706, V
 0020, 2017/11/07, 23.42.24, 30,875, V
 0021, 2017/11/07, 23.42.25, 31,215, V
 0022, 2017/11/07, 23.42.26, 31,548, V
 0023, 2017/11/07, 23.42.27, 31,796, V
 0024, 2017/11/07, 23.42.28, 31,997, V
 0025, 2017/11/07, 23.42.29, 32,196, V
 0026, 2017/11/07, 23.42.30, 32,474, V
 0027, 2017/11/07, 23.42.31, 32,758, V
 0028, 2017/11/07, 23.42.32, 32,848, V
 0029, 2017/11/07, 23.42.33, 33,131, V
 0030, 2017/11/07, 23.42.34, 33,281, V
 0031, 2017/11/07, 23.42.35, 33,421, V
 0032, 2017/11/07, 23.42.36, 33,745, V
 0033, 2017/11/07, 23.42.37, 33,990, V
 0034, 2017/11/07, 23.42.38, 34,250, V
 0035, 2017/11/07, 23.42.39, 34,498, V
 0036, 2017/11/07, 23.42.40, 34,663, V
 0037, 2017/11/07, 23.42.41, 34,838, V
 0038, 2017/11/07, 23.42.42, 34,933, V
 0039, 2017/11/07, 23.42.43, 35,344, V
 0040, 2017/11/07, 23.42.44, 35,513, V
 0041, 2017/11/07, 23.42.45, 35,784, V
 0042, 2017/11/07, 23.42.46, 36,134, V
 0043, 2017/11/07, 23.42.47, 36,362, V
 0044, 2017/11/07, 23.42.48, 36,577, V
 0045, 2017/11/07, 23.42.49, 36,856, V
 0046, 2017/11/07, 23.42.50, 37,102, V
 0047, 2017/11/07, 23.42.51, 37,428, V
 0048, 2017/11/07, 23.42.52, 37,741, V
 0049, 2017/11/07, 23.42.53, 37,992, V
 0050, 2017/11/07, 23.42.54, 38,337, V
 0051, 2017/11/07, 23.42.55, 38,599, V
 0052, 2017/11/07, 23.42.56, 39,026, V
 0053, 2017/11/07, 23.42.57, 39,326, V
 0054, 2017/11/07, 23.42.58, 39,519, V
 0055, 2017/11/07, 23.42.59, 39,777, V
 0056, 2017/11/07, 23.43.00, 40,214, V
 0057, 2017/11/07, 23.43.01, 40,555, V
 0058, 2017/11/07, 23.43.02, 40,714, V
 0059, 2017/11/07, 23.43.03, 41,141, V
 0060, 2017/11/07, 23.43.04, 41,610, V
 0061, 2017/11/07, 23.43.05, 42,081, V
 0062, 2017/11/07, 23.43.06, 42,337, V
 0063, 2017/11/07, 23.43.07, 42,679, V
 0064, 2017/11/07, 23.43.08, 43,016, V
 0065, 2017/11/07, 23.43.09, 43,367, V
 0066, 2017/11/07, 23.43.10, 43,884, V
 0067, 2017/11/07, 23.43.11, 44,164, V
 0068, 2017/11/07, 23.43.12, 44,481, V
 0069, 2017/11/07, 23.43.13, 44,987, V
 0070, 2017/11/07, 23.43.14, 45,465, V
 0071, 2017/11/07, 23.43.15, 45,717, V
 0072, 2017/11/07, 23.43.16, 46,188, V
 0073, 2017/11/07, 23.43.17, 46,698, V
 0074, 2017/11/07, 23.43.18, 47,062, V
 0075, 2017/11/07, 23.43.19, 47,481, V
 0076, 2017/11/07, 23.43.20, 48,003, V
 0077, 2017/11/07, 23.43.21, 48,335, V
 0078, 2017/11/07, 23.43.22, 48,655, V
 0079, 2017/11/07, 23.43.23, 49,231, V
 0080, 2017/11/07, 23.43.24, 49,527, V
 0081, 2017/11/07, 23.43.25, 50,133, V
 0082, 2017/11/07, 23.43.26, 50,289, V
 0083, 2017/11/07, 23.43.27, 50,604, V
 0084, 2017/11/07, 23.43.28, 50,752, V
 0085, 2017/11/07, 23.43.29, 51,004, V
 0086, 2017/11/07, 23.43.30, 51,220, V
 0087, 2017/11/07, 23.43.31, 51,514, V
 0088, 2017/11/07, 23.43.32, 51,851, V
 0089, 2017/11/07, 23.43.33, 52,081, V
 0090, 2017/11/07, 23.43.34, 52,298, V
 0091, 2017/11/07, 23.43.35, 52,530, V
 0092, 2017/11/07, 23.43.36, 52,678, V
 0093, 2017/11/07, 23.43.37, 52,878, V
 0094, 2017/11/07, 23.43.38, 53,176, V
