Title, 
Type, DCV_(021)
MAX, 70,00, V, 23.38.25
MIN, 30,013, V, 23.41.07
AVG., 50,75, V

No, Date, Time, Value, Unit
 0001, 2017/11/07, 23.38.19, 69,99, V
 0002, 2017/11/07, 23.38.20, 69,98, V
 0003, 2017/11/07, 23.38.21, 69,99, V
 0004, 2017/11/07, 23.38.22, 69,99, V
 0005, 2017/11/07, 23.38.23, 69,99, V
 0006, 2017/11/07, 23.38.24, 69,98, V
 0007, 2017/11/07, 23.38.25, 70,00, V
 0008, 2017/11/07, 23.38.26, 69,99, V
 0009, 2017/11/07, 23.38.27, 69,99, V
 0010, 2017/11/07, 23.38.28, 69,99, V
 0011, 2017/11/07, 23.38.29, 69,99, V
 0012, 2017/11/07, 23.38.30, 69,99, V
 0013, 2017/11/07, 23.38.31, 69,99, V
 0014, 2017/11/07, 23.38.32, 69,99, V
 0015, 2017/11/07, 23.38.33, 69,99, V
 0016, 2017/11/07, 23.38.34, 69,99, V
 0017, 2017/11/07, 23.38.35, 69,95, V
 0018, 2017/11/07, 23.38.36, 69,83, V
 0019, 2017/11/07, 23.38.37, 69,67, V
 0020, 2017/11/07, 23.38.38, 69,57, V
 0021, 2017/11/07, 23.38.39, 69,29, V
 0022, 2017/11/07, 23.38.40, 69,05, V
 0023, 2017/11/07, 23.38.41, 68,75, V
 0024, 2017/11/07, 23.38.42, 68,66, V
 0025, 2017/11/07, 23.38.43, 68,23, V
 0026, 2017/11/07, 23.38.44, 67,99, V
 0027, 2017/11/07, 23.38.45, 67,90, V
 0028, 2017/11/07, 23.38.46, 67,65, V
 0029, 2017/11/07, 23.38.47, 67,28, V
 0030, 2017/11/07, 23.38.48, 67,16, V
 0031, 2017/11/07, 23.38.49, 66,95, V
 0032, 2017/11/07, 23.38.50, 66,84, V
 0033, 2017/11/07, 23.38.51, 66,59, V
 0034, 2017/11/07, 23.38.52, 66,34, V
 0035, 2017/11/07, 23.38.53, 66,14, V
 0036, 2017/11/07, 23.38.54, 65,77, V
 0037, 2017/11/07, 23.38.55, 65,39, V
 0038, 2017/11/07, 23.38.56, 64,98, V
 0039, 2017/11/07, 23.38.57, 64,72, V
 0040, 2017/11/07, 23.38.58, 64,36, V
 0041, 2017/11/07, 23.38.59, 64,05, V
 0042, 2017/11/07, 23.39.00, 63,80, V
 0043, 2017/11/07, 23.39.01, 63,57, V
 0044, 2017/11/07, 23.39.02, 63,35, V
 0045, 2017/11/07, 23.39.03, 63,09, V
 0046, 2017/11/07, 23.39.04, 62,74, V
 0047, 2017/11/07, 23.39.05, 62,51, V
 0048, 2017/11/07, 23.39.06, 62,34, V
 0049, 2017/11/07, 23.39.07, 62,19, V
 0050, 2017/11/07, 23.39.08, 61,88, V
 0051, 2017/11/07, 23.39.09, 61,66, V
 0052, 2017/11/07, 23.39.10, 61,39, V
 0053, 2017/11/07, 23.39.11, 61,05, V
 0054, 2017/11/07, 23.39.12, 60,67, V
 0055, 2017/11/07, 23.39.13, 60,31, V
 0056, 2017/11/07, 23.39.14, 60,00, V
 0057, 2017/11/07, 23.39.15, 59,76, V
 0058, 2017/11/07, 23.39.16, 59,54, V
 0059, 2017/11/07, 23.39.17, 59,21, V
 0060, 2017/11/07, 23.39.18, 59,04, V
 0061, 2017/11/07, 23.39.19, 58,81, V
 0062, 2017/11/07, 23.39.20, 58,54, V
 0063, 2017/11/07, 23.39.21, 58,30, V
 0064, 2017/11/07, 23.39.22, 58,11, V
 0065, 2017/11/07, 23.39.23, 57,87, V
 0066, 2017/11/07, 23.39.24, 57,66, V
 0067, 2017/11/07, 23.39.25, 57,36, V
 0068, 2017/11/07, 23.39.26, 57,16, V
