Title, 
Type, DCV_(022)
MAX, 100,34, V, 23.10.02
MIN, 1,1485, V, 23.05.02
AVG., 48,2992, V

No, Date, Time, Value, Unit
 0119, 2017/11/07, 23.06.57, 34,040, V
 0120, 2017/11/07, 23.06.58, 34,293, V
 0121, 2017/11/07, 23.06.59, 34,451, V
 0122, 2017/11/07, 23.07.00, 34,599, V
 0123, 2017/11/07, 23.07.01, 34,833, V
 0124, 2017/11/07, 23.07.02, 34,961, V
 0125, 2017/11/07, 23.07.03, 35,071, V
 0126, 2017/11/07, 23.07.04, 35,383, V
 0127, 2017/11/07, 23.07.05, 35,773, V
 0128, 2017/11/07, 23.07.06, 36,019, V
 0129, 2017/11/07, 23.07.07, 36,292, V
 0130, 2017/11/07, 23.07.08, 36,360, V
 0131, 2017/11/07, 23.07.09, 36,711, V
 0132, 2017/11/07, 23.07.10, 36,860, V
 0133, 2017/11/07, 23.07.11, 36,928, V
 0134, 2017/11/07, 23.07.12, 37,144, V
 0135, 2017/11/07, 23.07.13, 37,396, V
 0136, 2017/11/07, 23.07.14, 37,638, V
 0137, 2017/11/07, 23.07.15, 38,177, V
 0138, 2017/11/07, 23.07.16, 38,621, V
 0139, 2017/11/07, 23.07.17, 39,116, V
 0140, 2017/11/07, 23.07.18, 39,580, V
 0141, 2017/11/07, 23.07.19, 39,780, V
 0142, 2017/11/07, 23.07.20, 40,016, V
 0143, 2017/11/07, 23.07.21, 40,563, V
 0144, 2017/11/07, 23.07.22, 40,787, V
 0145, 2017/11/07, 23.07.23, 41,048, V
 0146, 2017/11/07, 23.07.24, 41,312, V
 0147, 2017/11/07, 23.07.25, 41,479, V
 0148, 2017/11/07, 23.07.26, 41,787, V
 0149, 2017/11/07, 23.07.27, 42,163, V
 0150, 2017/11/07, 23.07.28, 42,317, V
 0151, 2017/11/07, 23.07.29, 42,746, V
 0152, 2017/11/07, 23.07.30, 42,796, V
 0153, 2017/11/07, 23.07.31, 43,076, V
 0154, 2017/11/07, 23.07.32, 43,230, V
 0155, 2017/11/07, 23.07.33, 43,825, V
 0156, 2017/11/07, 23.07.34, 44,267, V
 0157, 2017/11/07, 23.07.35, 44,639, V
 0158, 2017/11/07, 23.07.36, 44,910, V
 0159, 2017/11/07, 23.07.37, 45,211, V
 0160, 2017/11/07, 23.07.38, 45,609, V
 0161, 2017/11/07, 23.07.39, 46,036, V
 0162, 2017/11/07, 23.07.40, 46,528, V
 0163, 2017/11/07, 23.07.41, 46,981, V
 0164, 2017/11/07, 23.07.42, 47,781, V
 0165, 2017/11/07, 23.07.43, 48,276, V
 0166, 2017/11/07, 23.07.44, 49,137, V
 0167, 2017/11/07, 23.07.45, 49,405, V
 0168, 2017/11/07, 23.07.46, 49,556, V
 0169, 2017/11/07, 23.07.47, 49,944, V
 0170, 2017/11/07, 23.07.48, 50,020, V
 0171, 2017/11/07, 23.07.49, 50,580, V
 0172, 2017/11/07, 23.07.50, 50,941, V
 0173, 2017/11/07, 23.07.51, 51,360, V
 0174, 2017/11/07, 23.07.52, 51,861, V
 0175, 2017/11/07, 23.07.53, 52,215, V
 0176, 2017/11/07, 23.07.54, 52,578, V
 0177, 2017/11/07, 23.07.55, 53,038, V
 0178, 2017/11/07, 23.07.56, 53,418, V
 0179, 2017/11/07, 23.07.57, 53,832, V
 0180, 2017/11/07, 23.07.58, 54,321, V
 0181, 2017/11/07, 23.07.59, 54,784, V
 0182, 2017/11/07, 23.08.00, 55,258, V
 0183, 2017/11/07, 23.08.01, 55,532, V
 0184, 2017/11/07, 23.08.02, 55,994, V
 0185, 2017/11/07, 23.08.03, 56,248, V
 0186, 2017/11/07, 23.08.04, 56,604, V
 0187, 2017/11/07, 23.08.05, 56,875, V
 0188, 2017/11/07, 23.08.06, 57,199, V
 0189, 2017/11/07, 23.08.07, 57,449, V
 0190, 2017/11/07, 23.08.08, 57,921, V
 0191, 2017/11/07, 23.08.09, 58,179, V
 0192, 2017/11/07, 23.08.10, 58,516, V
 0193, 2017/11/07, 23.08.11, 58,721, V
 0194, 2017/11/07, 23.08.12, 59,150, V
 0195, 2017/11/07, 23.08.13, 59,473, V
 0196, 2017/11/07, 23.08.14, 59,748, V
 0197, 2017/11/07, 23.08.15, 59,897, V
 0198, 2017/11/07, 23.08.16, 60,32, V
 0199, 2017/11/07, 23.08.17, 60,64, V
 0200, 2017/11/07, 23.08.18, 61,03, V
