-85	0.02
-70	0.02
-60	0.03
-50	0.03
-45	0.10
-40	0.15
-37	0.20
-34	0.28
-31	0.35
-28	0.51
-25	0.70
-23	0.88
-21	1.13
-19	1.37
-18	1.55
-17	1.73
-16	1.92
-15	2.08
-14	2.37
-13	2.58
-12	2.73
-11	3.01
-10	2.99
-11	3.04
-10	2.99
-8	3.39
-6	4.12
-4	4.15
-3	3.98
-2	4.23
-1	4.27
0	4.71
1	4.22
2	4.31
3	4.38
4	4.47
5	4.16
6	4.15
7	3.90
8	3.31
9	3.72
10	3.21
11	3.13
12	2.88
13	2.70
14	2.51
15	2.27
16	2.05
17	1.82
18	1.87
19	1.45
21	1.21
23	0.96
25	0.87
27	0.62
30	0.44
35	0.10
45	0.11
40	0.17
50	0.04
60	0.02
90	0.02
