0	4.30
1	4.53
2	4.83
3	4.59
4	4.26
5	3.75
5.5	3.38
6	2.99
6.5	2.58
7	2.30
7.5	1.98
8	1.79
9	1.25
10	0.86
11	0.57
12	0.33
14	0.16
16	0.06
19	0.04
23	0.03
30	0.02
45	0.02
90	0.02
0	4.40
-1	3.73
-2	3.42
-2.5	3.05
-3	2.66
-3.5	2.38
-4	2.16
-4.5	1.85
-5	1.54
-5.5	1.20
-6	1.05
-7	0.71
-8	0.44
-10	0.17
-12	0.07
-15	0.03
-30	0.03
-45	0.02
-85	0.02
-1.5	3.56
-0.5	4.10
0.5	4.69
0	4.64
1.5	4.52
2.5	4.82
2	4.95
2	4.96
3.5	4.37
4.5	3.89
-2.5	3.19
1.5	4.44
2	4.61
2.5	4.27
0	4.46
