"Title        "	"Input A"	 		"Title        "	"Input B"	 
"ID           "	1	 		"ID           "	1	 
"Type         "	"Envelope"	 		"Type         "	"Envelope"	 
"Date         "	01/01/95	 		"Date         "	01/01/95	 
"Time         "	19:32:46	 		"Time         "	19:32:46	 
"X Scale      "	2.00E-04	 		"X Scale      "	2.00E-04	 
"X At 0%      "	5.28E-04	 		"X At 0%      "	5.28E-04	 
"X Resolution "	2.500000E+01	 		"X Resolution "	2.500000E+01	 
"X Size       "	300	 		"X Size       "	300	 
"X Unit       "	"s"	 		"X Unit       "	"s"	 
"X Label      "	"200 us/Div"	 		"X Label      "	"200 us/Div"	 
"Y Scale      "	1.00E-01	 		"Y Scale      "	1.00E+00	 
"Y At 50%     "	-4.00E-01	 		"Y At 50%     "	1.68E+00	 
"Y Resolution "	2.500000E+01	 		"Y Resolution "	2.500000E+01	 
"Y Size       "	256	 		"Y Size       "	256	 
"Y Unit       "	"V"	 		"Y Unit       "	"V"	 
"Y Label      "	"mV"	 		"Y Label      "	"V"	 

1.008E-03	-2.8E-02	-2.0E-02		1.008E-03	6.8E-01	7.6E-01
1.016E-03	-3.2E-02	-2.4E-02		1.016E-03	6.4E-01	7.2E-01
1.024E-03	-3.6E-02	-2.8E-02		1.024E-03	6.8E-01	7.6E-01
1.032E-03	-2.8E-02	-2.0E-02		1.032E-03	5.6E-01	7.2E-01
1.040E-03	-3.2E-02	-2.4E-02		1.040E-03	6.4E-01	7.2E-01
1.048E-03	-3.2E-02	-2.4E-02		1.048E-03	6.0E-01	8.0E-01
1.056E-03	-2.8E-02	-2.4E-02		1.056E-03	7.2E-01	8.0E-01
1.064E-03	-3.2E-02	-2.0E-02		1.064E-03	6.0E-01	7.2E-01
1.072E-03	-3.2E-02	-2.4E-02		1.072E-03	6.8E-01	7.6E-01
1.080E-03	-3.2E-02	-2.4E-02		1.080E-03	6.8E-01	7.6E-01
1.088E-03	-2.8E-02	-2.0E-02		1.088E-03	6.8E-01	7.2E-01
1.096E-03	-3.6E-02	-2.4E-02		1.096E-03	6.4E-01	7.2E-01
1.104E-03	-2.8E-02	-2.4E-02		1.104E-03	6.8E-01	7.6E-01
1.112E-03	-3.2E-02	-1.6E-02		1.112E-03	7.2E-01	7.2E-01
1.120E-03	-3.2E-02	-1.6E-02		1.120E-03	6.0E-01	7.6E-01
1.128E-03	-2.8E-02	-2.0E-02		1.128E-03	7.2E-01	8.0E-01
1.136E-03	-3.2E-02	-2.0E-02		1.136E-03	6.8E-01	7.6E-01
1.144E-03	-3.2E-02	-2.4E-02		1.144E-03	7.2E-01	7.6E-01
1.152E-03	-3.2E-02	-2.4E-02		1.152E-03	6.4E-01	7.6E-01
1.160E-03	-3.2E-02	-2.0E-02		1.160E-03	6.8E-01	7.6E-01
1.168E-03	-3.2E-02	-2.0E-02		1.168E-03	6.8E-01	8.0E-01
1.176E-03	-2.8E-02	-2.0E-02		1.176E-03	5.6E-01	7.2E-01
1.184E-03	-3.6E-02	-2.4E-02		1.184E-03	6.8E-01	7.6E-01
1.192E-03	-3.2E-02	-2.4E-02		1.192E-03	6.8E-01	7.2E-01
1.200E-03	-3.2E-02	-2.4E-02		1.200E-03	6.0E-01	7.6E-01
1.208E-03	-3.2E-02	-2.4E-02		1.208E-03	6.4E-01	7.2E-01
1.216E-03	-2.8E-02	-2.0E-02		1.216E-03	6.8E-01	7.6E-01
1.224E-03	-3.2E-02	-2.4E-02		1.224E-03	6.8E-01	7.6E-01
1.232E-03	-2.8E-02	-1.6E-02		1.232E-03	6.0E-01	7.6E-01
1.240E-03	-2.8E-02	-2.0E-02		1.240E-03	6.8E-01	7.6E-01
1.248E-03	-3.2E-02	-2.0E-02		1.248E-03	6.8E-01	7.6E-01
1.256E-03	-3.2E-02	-2.4E-02		1.256E-03	6.8E-01	8.0E-01
1.264E-03	-3.2E-02	-2.0E-02		1.264E-03	6.4E-01	7.2E-01
1.272E-03	-3.2E-02	-2.4E-02		1.272E-03	6.4E-01	7.2E-01
1.280E-03	-2.8E-02	-2.0E-02		1.280E-03	6.4E-01	7.6E-01
1.288E-03	-2.8E-02	-2.0E-02		1.288E-03	6.8E-01	7.6E-01
1.296E-03	-3.2E-02	-2.0E-02		1.296E-03	6.8E-01	8.0E-01
1.304E-03	-2.8E-02	-2.4E-02		1.304E-03	6.8E-01	7.6E-01
1.312E-03	-3.2E-02	-2.0E-02		1.312E-03	6.4E-01	7.2E-01
1.320E-03	-3.2E-02	-2.4E-02		1.320E-03	6.8E-01	7.6E-01
1.328E-03	-2.8E-02	-2.0E-02		1.328E-03	6.4E-01	7.6E-01
1.336E-03	-2.8E-02	-2.4E-02		1.336E-03	6.0E-01	7.6E-01
1.344E-03	-3.6E-02	-2.8E-02		1.344E-03	6.4E-01	7.2E-01
1.352E-03	-4.0E-02	-2.8E-02		1.352E-03	6.4E-01	8.0E-01
1.360E-03	-3.6E-02	-2.8E-02		1.360E-03	6.4E-01	7.6E-01
1.368E-03	-4.0E-02	-3.2E-02		1.368E-03	6.4E-01	8.0E-01
1.376E-03	-4.4E-02	-3.2E-02		1.376E-03	6.4E-01	7.6E-01
1.384E-03	-4.4E-02	-3.6E-02		1.384E-03	6.4E-01	7.6E-01
1.392E-03	-4.8E-02	-4.0E-02		1.392E-03	7.2E-01	8.0E-01
1.400E-03	-4.4E-02	-3.6E-02		1.400E-03	6.8E-01	8.0E-01
1.408E-03	-4.0E-02	-3.6E-02		1.408E-03	6.8E-01	7.2E-01
1.416E-03	-4.8E-02	-4.0E-02		1.416E-03	6.4E-01	7.2E-01
1.424E-03	-5.2E-02	-4.0E-02		1.424E-03	6.8E-01	7.6E-01
1.432E-03	-5.2E-02	-4.8E-02		1.432E-03	6.8E-01	8.0E-01
1.440E-03	-5.2E-02	-4.4E-02		1.440E-03	6.8E-01	8.0E-01
1.448E-03	-6.0E-02	-4.8E-02		1.448E-03	6.4E-01	7.6E-01
1.456E-03	-6.4E-02	-5.2E-02		1.456E-03	6.4E-01	7.6E-01
1.464E-03	-6.0E-02	-4.8E-02		1.464E-03	6.0E-01	7.6E-01
1.472E-03	-7.2E-02	-5.6E-02		1.472E-03	6.8E-01	7.6E-01
1.480E-03	-9.2E-02	-7.6E-02		1.480E-03	6.4E-01	7.6E-01
1.488E-03	-1.00E-01	-8.8E-02		1.488E-03	6.4E-01	7.6E-01
1.496E-03	-8.8E-02	-8.0E-02		1.496E-03	6.8E-01	7.6E-01
1.504E-03	-1.04E-01	-8.8E-02		1.504E-03	7.2E-01	7.6E-01
1.512E-03	-1.16E-01	-1.00E-01		1.512E-03	6.8E-01	7.6E-01
1.520E-03	-1.32E-01	-1.16E-01		1.520E-03	6.8E-01	7.6E-01
1.528E-03	-1.20E-01	-1.12E-01		1.528E-03	6.4E-01	7.2E-01
1.536E-03	-1.40E-01	-1.20E-01		1.536E-03	6.8E-01	7.6E-01
1.544E-03	-1.60E-01	-1.36E-01		1.544E-03	7.2E-01	7.6E-01
1.552E-03	-1.68E-01	-1.56E-01		1.552E-03	6.4E-01	8.0E-01
1.560E-03	-1.56E-01	-1.44E-01		1.560E-03	6.8E-01	8.0E-01
1.568E-03	-1.80E-01	-1.52E-01		1.568E-03	6.8E-01	8.0E-01
1.576E-03	-2.12E-01	-1.76E-01		1.576E-03	6.4E-01	7.2E-01
1.584E-03	-2.20E-01	-2.00E-01		1.584E-03	6.8E-01	7.6E-01
1.592E-03	-2.12E-01	-1.96E-01		1.592E-03	6.8E-01	7.6E-01
1.600E-03	-2.44E-01	-2.08E-01		1.600E-03	6.4E-01	7.6E-01
1.608E-03	-2.72E-01	-2.40E-01		1.608E-03	7.2E-01	7.6E-01
1.616E-03	-2.76E-01	-2.40E-01		1.616E-03	6.8E-01	7.6E-01
1.624E-03	-2.60E-01	-2.40E-01		1.624E-03	6.4E-01	7.2E-01
1.632E-03	-3.00E-01	-2.64E-01		1.632E-03	6.4E-01	7.6E-01
1.640E-03	-3.36E-01	-3.04E-01		1.640E-03	6.8E-01	7.2E-01
1.648E-03	-3.32E-01	-3.04E-01		1.648E-03	6.4E-01	7.6E-01
1.656E-03	-3.36E-01	-3.04E-01		1.656E-03	7.2E-01	7.6E-01
1.664E-03	-3.96E-01	-3.40E-01		1.664E-03	6.4E-01	8.0E-01
1.672E-03	-5.00E-01	-4.04E-01		1.672E-03	6.8E-01	7.6E-01
1.680E-03	-5.04E-01	-4.56E-01		1.680E-03	6.8E-01	7.6E-01
1.688E-03	-4.72E-01	-4.44E-01		1.688E-03	6.4E-01	7.2E-01
1.696E-03	-5.00E-01	-4.72E-01		1.696E-03	6.4E-01	7.6E-01
1.704E-03	-5.20E-01	-5.04E-01		1.704E-03	6.8E-01	7.6E-01
1.712E-03	-5.12E-01	-3.76E-01		1.712E-03	6.4E-01	8.4E-01
1.720E-03	-3.80E-01	-3.48E-01		1.720E-03	6.8E-01	7.6E-01
1.728E-03	-3.48E-01	-3.40E-01		1.728E-03	6.8E-01	7.6E-01
1.736E-03	-3.68E-01	-3.48E-01		1.736E-03	6.0E-01	7.6E-01
1.744E-03	-3.60E-01	-2.92E-01		1.744E-03	6.4E-01	7.2E-01
1.752E-03	-2.92E-01	-2.76E-01		1.752E-03	6.8E-01	7.6E-01
1.760E-03	-3.16E-01	-2.92E-01		1.760E-03	6.8E-01	8.0E-01
1.768E-03	-3.36E-01	-3.08E-01		1.768E-03	6.8E-01	7.6E-01
1.776E-03	-3.36E-01	-2.76E-01		1.776E-03	6.8E-01	7.6E-01
1.784E-03	-2.72E-01	-2.52E-01		1.784E-03	6.4E-01	8.0E-01
1.792E-03	-2.64E-01	-2.52E-01		1.792E-03	6.8E-01	8.0E-01
1.800E-03	-2.60E-01	-2.48E-01		1.800E-03	6.4E-01	7.6E-01
1.808E-03	-2.60E-01	-1.92E-01		1.808E-03	6.8E-01	7.6E-01
1.816E-03	-1.92E-01	-1.64E-01		1.816E-03	6.4E-01	7.6E-01
1.824E-03	-1.76E-01	-1.68E-01		1.824E-03	6.8E-01	8.0E-01
1.832E-03	-1.76E-01	-1.68E-01		1.832E-03	6.4E-01	7.6E-01
1.840E-03	-1.84E-01	-1.60E-01		1.840E-03	6.4E-01	7.2E-01
1.848E-03	-1.56E-01	-1.28E-01		1.848E-03	6.4E-01	7.6E-01
1.856E-03	-1.28E-01	-1.16E-01		1.856E-03	6.4E-01	7.2E-01
1.864E-03	-1.20E-01	-1.12E-01		1.864E-03	6.4E-01	7.6E-01
1.872E-03	-1.16E-01	-1.04E-01		1.872E-03	6.8E-01	7.6E-01
1.880E-03	-1.00E-01	-8.0E-02		1.880E-03	6.8E-01	8.4E-01
1.888E-03	-9.2E-02	-7.6E-02		1.888E-03	7.2E-01	7.6E-01
1.896E-03	-8.8E-02	-8.0E-02		1.896E-03	6.8E-01	7.6E-01
1.904E-03	-8.8E-02	-7.6E-02		1.904E-03	7.2E-01	8.0E-01
1.912E-03	-8.4E-02	-6.4E-02		1.912E-03	6.8E-01	7.6E-01
1.920E-03	-6.8E-02	-5.6E-02		1.920E-03	6.8E-01	7.2E-01
1.928E-03	-6.8E-02	-6.0E-02		1.928E-03	6.8E-01	7.6E-01
1.936E-03	-6.4E-02	-5.6E-02		1.936E-03	6.8E-01	8.0E-01
1.944E-03	-6.4E-02	-4.8E-02		1.944E-03	6.8E-01	7.6E-01
1.952E-03	-5.2E-02	-4.4E-02		1.952E-03	6.8E-01	8.0E-01
1.960E-03	-5.2E-02	-4.4E-02		1.960E-03	6.8E-01	7.6E-01
1.968E-03	-5.2E-02	-4.4E-02		1.968E-03	6.8E-01	7.6E-01
1.976E-03	-5.2E-02	-4.4E-02		1.976E-03	6.8E-01	8.0E-01
1.984E-03	-4.8E-02	-3.6E-02		1.984E-03	6.8E-01	7.6E-01
1.992E-03	-4.4E-02	-3.6E-02		1.992E-03	6.8E-01	7.6E-01
2.000E-03	-4.4E-02	-3.6E-02		2.000E-03	6.4E-01	8.0E-01
2.008E-03	-4.4E-02	-3.6E-02		2.008E-03	6.8E-01	7.6E-01
2.016E-03	-4.4E-02	-3.2E-02		2.016E-03	7.2E-01	8.0E-01
2.024E-03	-4.0E-02	-3.6E-02		2.024E-03	7.2E-01	7.6E-01
2.032E-03	-4.4E-02	-3.2E-02		2.032E-03	6.4E-01	7.2E-01
2.040E-03	-4.0E-02	-3.6E-02		2.040E-03	7.2E-01	7.6E-01
2.048E-03	-4.0E-02	-3.6E-02		2.048E-03	6.4E-01	7.6E-01
2.056E-03	-4.4E-02	-3.6E-02		2.056E-03	7.2E-01	8.0E-01
2.064E-03	-3.6E-02	-2.8E-02		2.064E-03	6.8E-01	7.6E-01
